OBJECTID,x_coord,y_coord,windspeed spring baseline lower,windspeed spring baseline median,windspeed spring baseline upper,windspeed spring 2.0 lower,windspeed spring 2.0 median,windspeed spring 2.0 upper,windspeed spring 4.0 lower,windspeed spring 4.0 median,windspeed spring 4.0 upper,windspeed summer baseline lower,windspeed summer baseline median,windspeed summer baseline upper,windspeed summer 2.0 lower,windspeed summer 2.0 median,windspeed summer 2.0 upper,windspeed summer 4.0 lower,windspeed summer 4.0 median,windspeed summer 4.0 upper,windspeed autumn baseline lower,windspeed autumn baseline median,windspeed autumn baseline upper,windspeed autumn 2.0 lower,windspeed autumn 2.0 median,windspeed autumn 2.0 upper,windspeed autumn 4.0 lower,windspeed autumn 4.0 median,windspeed autumn 4.0 upper,windspeed winter baseline lower,windspeed winter baseline median,windspeed winter baseline upper,windspeed winter 2.0 lower,windspeed winter 2.0 median,windspeed winter 2.0 upper,windspeed winter 4.0 lower,windspeed winter 4.0 median,windspeed winter 4.0 upper,Shape__Area,Shape__Length
1,2500,517500,4.3073187,4.5553327,4.802591,4.034343,4.1727724,4.427302,3.9608796,4.178968,4.4133053,3.8765392,3.9672089,4.1118255,3.4219298,3.5582595,3.6668384,3.3531775,3.477389,3.6250157,4.3896823,4.46896,4.668303,4.003356,4.1162205,4.186066,4.023862,4.1949515,4.247425,5.073511,5.350505,5.569049,4.6553335,4.977198,5.0470686,4.715707,4.952696,5.2908354,73393384.5722656,34268.0009791438
2,2500,522500,3.9869862,4.248248,4.478468,3.6972263,3.796178,4.0433254,3.5774262,3.803842,4.0271783,3.606586,3.69212,3.8276894,3.129065,3.2910683,3.3759632,3.049236,3.189815,3.3403823,3.9402766,4.035348,4.2204437,3.506662,3.6542974,3.7093308,3.5205848,3.6801457,3.7007408,4.618369,4.9050093,5.059035,4.142671,4.4640675,4.5355725,4.1874113,4.433761,4.743735,73552845.2524414,34305.2074716103
3,2500,527500,3.8599868,4.126471,4.332399,3.6918156,3.7694507,4.0009136,3.5736794,3.7850559,3.986117,3.4844613,3.585666,3.6944954,3.1102514,3.26426,3.3504188,3.0278268,3.1583328,3.3146958,3.7833896,3.8951252,4.053018,3.4303136,3.599057,3.661314,3.434136,3.6051877,3.6427321,4.372493,4.643361,4.748,4.028514,4.290784,4.385128,4.0682154,4.306219,4.5979395,73712914.706543,34342.5154677699
4,7500,512500,4.084684,4.310361,4.536327,3.89873,4.006099,4.246295,3.81228,4.0123615,4.2339163,3.603192,3.7112567,3.8106072,3.2384365,3.3517406,3.45573,3.1558795,3.2648683,3.3995392,4.1415143,4.200572,4.381097,3.7989547,3.9362411,3.9669583,3.8325412,3.9705224,4.0502596,4.7541966,5.025388,5.199463,4.4226894,4.7280498,4.8047934,4.476986,4.7014937,5.0305014,73255356.5117188,34235.7626357128
5,7500,517500,3.6419754,3.8803596,4.0681405,3.4917495,3.5858192,3.7779548,3.388911,3.5729728,3.7678425,3.209786,3.2996616,3.4023025,2.8435462,3.0049107,3.0707934,2.799632,2.9123883,3.035895,3.5407467,3.639131,3.7786713,3.2186933,3.3501217,3.404161,3.2033677,3.3465092,3.3901112,4.140369,4.3923326,4.501918,3.7921727,4.0709944,4.1691256,3.8525958,4.0643773,4.349431,73414301.9501953,34272.8838581339
6,7500,522500,3.7865403,4.0280795,4.219631,3.61381,3.7052014,3.9069858,3.5080593,3.7062306,3.891396,3.377021,3.4687047,3.5789971,3.004311,3.1483335,3.2393727,2.9546602,3.0698638,3.195518,3.712143,3.8127823,3.9525402,3.3618703,3.502163,3.558955,3.3790557,3.520184,3.557808,4.294318,4.5552187,4.6659775,3.930631,4.2287674,4.3128476,3.9915347,4.23069,4.495377,73573853.7016602,34310.1062905182
7,7500,527500,3.8344681,4.077773,4.2829595,3.6927814,3.7764816,3.9746456,3.5814786,3.7884953,3.9751544,3.426414,3.5384994,3.6252704,3.0972726,3.2364268,3.3328,3.02374,3.1544247,3.2969806,3.7110615,3.8264656,3.965242,3.394963,3.5730126,3.619952,3.4052322,3.5659454,3.6289208,4.263525,4.513223,4.6286745,3.9620502,4.212601,4.303786,4.0148287,4.229588,4.4929433,73734014.7744141,34347.4303049382
8,12500,507500,3.968193,4.2122674,4.405773,3.7919765,3.9014163,4.091738,3.7059436,3.8886197,4.0777817,3.5644574,3.6406827,3.7470276,3.179832,3.3194098,3.3879676,3.1156297,3.2164662,3.3452218,3.8406234,3.9297397,4.089154,3.4898973,3.6192074,3.7035892,3.4804657,3.647475,3.7135272,4.42624,4.665489,4.8345428,4.074979,4.3545914,4.4404955,4.1461306,4.354125,4.629281,73117499.0039063,34203.5337980363
9,12500,512500,3.8103461,4.043478,4.202827,3.6409507,3.7261245,3.921049,3.5501168,3.737926,3.908224,3.3479404,3.434464,3.5228875,2.9799333,3.1252341,3.1991553,2.929954,3.0314863,3.1403031,3.6968179,3.784565,3.8966575,3.339885,3.4937427,3.5372608,3.336555,3.481875,3.535316,4.260073,4.5013323,4.589764,3.9134,4.171138,4.280152,3.9750893,4.165226,4.4448004,73275930.0419922,34240.569775617
10,12500,517500,4.007025,4.234652,4.396261,3.8662338,3.946711,4.1414323,3.776706,3.978559,4.132345,3.5192943,3.6269677,3.7100568,3.1855516,3.3189964,3.4159713,3.1366463,3.2547119,3.3687234,3.9040992,4.0044937,4.129927,3.5819519,3.7499123,3.8011787,3.591898,3.746633,3.7878983,4.4954576,4.710667,4.81596,4.161612,4.413493,4.5172048,4.237869,4.4163065,4.691279,73434964.9335938,34277.7066694064
11,12500,522500,4.069114,4.28553,4.503975,3.907331,3.9991295,4.2064643,3.7906106,4.0080013,4.1959596,3.5905113,3.705466,3.7897465,3.2370949,3.363275,3.4798646,3.1728451,3.2965455,3.4230008,4.074966,4.145404,4.289046,3.7291794,3.8917916,3.923685,3.7764523,3.9290307,3.968375,4.672845,4.936185,5.065607,4.3255267,4.651453,4.733494,4.4034157,4.6381125,4.9321985,73594606.6738281,34314.9448500986
12,12500,527500,3.8969822,4.131032,4.3479137,3.722948,3.8056285,3.9913983,3.5937266,3.8045068,3.992448,3.4938264,3.62044,3.6917973,3.1426792,3.2769475,3.3858905,3.068927,3.2026393,3.3452976,3.7301316,3.8373344,3.968719,3.3830109,3.544564,3.6147602,3.3815365,3.562355,3.621711,4.280052,4.512937,4.651326,3.9108233,4.2115393,4.283299,3.9859886,4.210315,4.480729,73754858.2797852,34352.2846902586
13,12500,532500,4.053874,4.297761,4.5030723,3.910148,3.971616,4.1744485,3.77709,3.9913259,4.1693,3.610077,3.7346642,3.8059242,3.2654197,3.3962905,3.5001435,3.1835861,3.3155186,3.454249,3.932218,4.0660224,4.1828966,3.6216743,3.7982655,3.8418674,3.6223292,3.791243,3.8509986,4.5221734,4.7299004,4.8610487,4.2024918,4.446483,4.513459,4.2449923,4.4442735,4.6902747,73915722.7802734,34389.7265642806
14,17500,497500,4.1794057,4.384311,4.573539,3.99444,4.096832,4.319644,3.9200988,4.1245966,4.3056746,3.5472798,3.661887,3.7723186,3.222089,3.3231933,3.4605656,3.1139026,3.2494037,3.3593307,4.172429,4.255271,4.4154367,3.8086097,3.9713607,4.0412645,3.8670545,4.027822,4.1047034,4.7790203,5.0794587,5.2016816,4.4319873,4.778965,4.898216,4.5479383,4.7632113,5.108416,72822494.4458008,34134.4643262501
15,17500,502500,3.8675811,4.093467,4.3043876,3.6818833,3.8016067,4.002725,3.5917675,3.799921,4.0029187,3.394333,3.5124466,3.6182983,3.0581706,3.158895,3.277771,2.9963374,3.0968785,3.2140126,3.7631173,3.857181,4.0089006,3.4042168,3.5631855,3.6191864,3.4414444,3.6153297,3.6784687,4.3553376,4.6277056,4.8101563,3.9767983,4.352497,4.430963,4.085852,4.325493,4.6523657,72979813.4951172,34171.3148311938
